inner_bc,gene,oligo,treatment,batch,POLQ
A01,HNRNPA1,5S_Btn,basic,3rd_d18,WT
A02,HNRNPA1,5S_Btn,hGEM,3rd_d18,WT
A03,HNRNPA1,5S_Btn,KU200nM,3rd_d18,WT
A04,HNRNPA1,5S_Btn,NU7441,3rd_d18,WT
A05,HNRNPA1,5S_Btn,VE822,3rd_d18,WT
A06,DDX21,5S_Btn,basic,4th_d23,WT
A07,DDX21,5S_Btn,hGEM,4th_d23,WT
A08,DDX21,5S_Btn,KU200nM,4th_d23,WT
A09,DDX21,5S_Btn,NU7441,4th_d23,WT
A10,DDX21,5S_Btn,VE822,4th_d23,WT
A11,TOMM20,5S_Btn,basic,4th_d23,WT
A12,TOMM20,5S_Btn,hGEM,4th_d23,WT
B01,TOMM20,5S_Btn,KU200nM,4th_d23,WT
B02,TOMM20,5S_Btn,NU7441,4th_d23,WT
B03,TOMM20,5S_Btn,VE822,4th_d23,WT
B04,LMNA,unmodified,basic,6th_d18,WT
B05,LMNA,unmodified,hGEM,6th_d18,WT
B06,LMNA,unmodified,KU200nM,6th_d18,WT
B07,LMNA,unmodified,NU7441,6th_d18,WT
B08,SLC16A1,unmodified,basic,6th_d18,WT
B09,SLC16A1,unmodified,hGEM,6th_d18,WT
B10,SLC16A1,unmodified,KU200nM,6th_d18,WT
B11,SLC16A1,unmodified,NU7441,6th_d18,WT
B12,CANX,5S_Btn,basic,5th_d17,WT
C01,CANX,unmodified,basic,5th_d17,WT
C02,CANX,unmodified,hGEM,5th_d17,WT
C03,CANX,unmodified,KU200nM,5th_d17,WT
C04,CANX,unmodified,NU7441,5th_d17,WT
C05,CANX,unmodified,VE822,5th_d17,WT
C06,CLTC,5S_Btn,basic,5th_d17,WT
C07,CLTC,unmodified,basic,5th_d17,WT
C08,CLTC,unmodified,hGEM,5th_d17,WT
C09,CLTC,unmodified,KU200nM,5th_d17,WT
C10,CLTC,unmodified,NU7441,5th_d17,WT
C11,CLTC,unmodified,VE822,5th_d17,WT
C12,DDX21,5S_Btn,basic,5th_d17,WT
D01,DDX21,unmodified,basic,5th_d17,WT
D02,DDX21,unmodified,hGEM,5th_d17,WT
D03,DDX21,unmodified,KU200nM,5th_d17,WT
D04,DDX21,unmodified,NU7441,5th_d17,WT
D05,DDX21,unmodified,VE822,5th_d17,WT
D06,HNRNPA1,5S_Btn,basic,5th_d17,WT
D07,HNRNPA1,unmodified,basic,5th_d17,WT
D08,HNRNPA1,unmodified,hGEM,5th_d17,WT
D09,HNRNPA1,unmodified,KU200nM,5th_d17,WT
D10,HNRNPA1,unmodified,NU7441,5th_d17,WT
D11,HNRNPA1,unmodified,VE822,5th_d17,WT
D12,TOMM20,5S_Btn,basic,5th_d17,WT
E01,TOMM20,unmodified,basic,5th_d17,WT
E02,TOMM20,unmodified,hGEM,5th_d17,WT
E03,TOMM20,unmodified,KU200nM,5th_d17,WT
E04,TOMM20,unmodified,NU7441,5th_d17,WT
E05,TOMM20,unmodified,VE822,5th_d17,WT
E06,CANX,5S_Btn,basic,6th_d17,WT
E07,CANX,5S_Btn,hGEM,6th_d17,WT
E08,CANX,5S_Btn,KU200nM,6th_d17,WT
E09,CANX,5S_Btn,NU7441,6th_d17,WT
E10,CANX,5S_Btn,VE822,6th_d17,WT
E11,CLTC,5S_Btn,basic,6th_d17,WT
E12,CLTC,5S_Btn,hGEM,6th_d17,WT
F01,CLTC,5S_Btn,KU200nM,6th_d17,WT
F02,CLTC,5S_Btn,NU7441,6th_d17,WT
F03,CLTC,5S_Btn,VE822,6th_d17,WT
F04,EMD,5S_Btn,basic,8th_d20,WT
F05,EMD,5S_Btn,hGEM,8th_d20,WT
F06,EMD,5S_Btn,KU200nM,8th_d20,WT
F07,EMD,5S_Btn,NU7441,8th_d20,WT
F08,EMD,5S_Btn,VE822,8th_d20,WT
F09,EMD,unmodified,basic,8th_d20,WT
F10,EMD,unmodified,VE822,8th_d20,WT
F11,SLC16A1,5S_Btn,basic,8th_d20,WT
F12,SLC16A1,5S_Btn,hGEM,8th_d20,WT
G01,SLC16A1,5S_Btn,KU200nM,8th_d20,WT
G02,SLC16A1,5S_Btn,NU7441,8th_d20,WT
G03,SLC16A1,5S_Btn,VE822,8th_d20,WT
G04,SLC16A1,unmodified,basic,8th_d20,WT
G05,SLC16A1,unmodified,VE822,8th_d20,WT
G06,SLC16A1,5S_Btn,basic,19th_d19,KD
G07,SLC16A1,5S_Btn,KU200nM,19th_d19,KD
G08,EIF3E,5S_Btn,basic,19th_d19,KD
G09,EIF3E,5S_Btn,KU200nM,19th_d19,KD
G10,LMNA,5S_Btn,basic,19th_d19,KD
G11,LMNA,5S_Btn,KU200nM,19th_d19,KD
G12,PSMD10,5S_Btn,basic,19th_d19,KD
H01,LMNA,5S_Btn,basic,8th_d21,WT
H02,LMNA,5S_Btn,hGEM,8th_d21,WT
H03,LMNA,5S_Btn,KU200nM,8th_d21,WT
H04,LMNA,5S_Btn,NU7441,8th_d21,WT
H05,LMNA,5S_Btn,VE822,8th_d21,WT
H06,LMNA,unmodified,basic,8th_d21,WT
H07,LMNA,unmodified,VE822,8th_d21,WT
H08,EMD,unmodified,basic,6th_d18,WT
H09,EMD,unmodified,hGEM,6th_d18,WT
H10,EMD,unmodified,KU200nM,6th_d18,WT
H11,EMD,unmodified,NU7441,6th_d18,WT
H12,PSMD10,5S_Btn,KU200nM,19th_d19,KD